V1,V2,Accuracy
lijc,su,1.0
lijc,zhang,0.9833333333333333
lijc,deng,0.9833333333333333
lijc,lijh,0.9833333333333333
lijc,wang,1.0
lijc,yao,1.0
lijc,wu,1.0
lijc,qiao,1.0
su,zhang,1.0
su,deng,0.9833333333333333
su,lijh,1.0
su,wang,1.0
su,yao,0.9833333333333333
su,wu,0.9666666666666667
su,qiao,1.0
zhang,deng,1.0
zhang,lijh,1.0
zhang,wang,1.0
zhang,yao,1.0
zhang,wu,1.0
zhang,qiao,0.9
deng,lijh,0.9666666666666667
deng,wang,1.0
deng,yao,0.7833333333333333
deng,wu,0.8
deng,qiao,0.9833333333333333
lijh,wang,1.0
lijh,yao,0.9833333333333333
lijh,wu,0.9833333333333333
lijh,qiao,0.9666666666666667
wang,yao,1.0
wang,wu,1.0
wang,qiao,1.0
yao,wu,0.7833333333333333
yao,qiao,1.0
wu,qiao,0.9666666666666667
